"id","name","slug","description","onet_major_group","created_at"
1,"Quản lý","management","Các vị trí quản lý và điều hành doanh nghiệp","11","2026-04-18 10:44:14.17896+00"
2,"Kinh doanh & Tài chính","business-finance","Phân tích kinh doanh, tài chính và các hoạt động liên quan","13","2026-04-18 10:44:14.17896+00"
3,"Công nghệ thông tin","computer-math","Lập trình, phân tích hệ thống và toán học ứng dụng","15","2026-04-18 10:44:14.17896+00"
4,"Kiến trúc & Kỹ thuật","architecture-engineering","Thiết kế, xây dựng và kỹ thuật","17","2026-04-18 10:44:14.17896+00"
5,"Khoa học tự nhiên","life-science","Nghiên cứu khoa học, vật lý, hóa học và sinh học","19","2026-04-18 10:44:14.17896+00"
6,"Dịch vụ cộng đồng","community-social","Công tác xã hội và dịch vụ cộng đồng","21","2026-04-18 10:44:14.17896+00"
7,"Pháp lý","legal","Luật sư, thẩm phán và các nghề pháp lý","23","2026-04-18 10:44:14.17896+00"
8,"Giáo dục","education","Giảng dạy và đào tạo","25","2026-04-18 10:44:14.17896+00"
9,"Nghệ thuật & Truyền thông","arts-media","Thiết kế, nghệ thuật và truyền thông","27","2026-04-18 10:44:14.17896+00"
10,"Y tế chuyên nghiệp","healthcare-practitioners","Bác sĩ, y tá và chuyên gia y tế","29","2026-04-18 10:44:14.17896+00"
11,"Hỗ trợ y tế","healthcare-support","Nhân viên hỗ trợ trong lĩnh vực y tế","31","2026-04-18 10:44:14.17896+00"
12,"Dịch vụ bảo vệ","protective-service","Cảnh sát, lính cứu hỏa và an ninh","33","2026-04-18 10:44:14.17896+00"
13,"Dịch vụ ăn uống","food-service","Nấu ăn và phục vụ thực phẩm","35","2026-04-18 10:44:14.17896+00"
14,"Bảo trì tòa nhà","building-maintenance","Vệ sinh và bảo trì cơ sở vật chất","37","2026-04-18 10:44:14.17896+00"
15,"Chăm sóc cá nhân","personal-care","Làm đẹp, chăm sóc sức khỏe cá nhân","39","2026-04-18 10:44:14.17896+00"
16,"Bán hàng","sales","Bán hàng và dịch vụ khách hàng","41","2026-04-18 10:44:14.17896+00"
17,"Hành chính văn phòng","office-admin","Hỗ trợ hành chính và văn phòng","43","2026-04-18 10:44:14.17896+00"
18,"Nông nghiệp & Lâm nghiệp","farming-forestry","Nông nghiệp, chăn nuôi và lâm nghiệp","45","2026-04-18 10:44:14.17896+00"
19,"Xây dựng","construction","Xây dựng và khai thác","47","2026-04-18 10:44:14.17896+00"
20,"Lắp đặt & Sửa chữa","installation-repair","Bảo trì và sửa chữa thiết bị","49","2026-04-18 10:44:14.17896+00"
21,"Sản xuất","production","Sản xuất và chế tạo","51","2026-04-18 10:44:14.17896+00"
22,"Vận tải","transportation","Vận chuyển và di chuyển hàng hóa","53","2026-04-18 10:44:14.17896+00"
