career_id,experience_text,experience_text_vi,degree_text,degree_text_vi,salary_min_en,salary_max_en,salary_avg_en,salary_currency_en,salary_bands_en,salary_min,salary_max,salary_avg,salary_currency,salary_bands,updated_at
1,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",60655.00,120956.00,90805.00,USD,"[{""max"""": 78526.89"," '""min'"": 60655.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 87105.84"," '""min'"": 78526.89"," """"label"""": """"Associate Level""""}"," {'""max'"": 105622.42"," '""min'"": 87105.84"," '""label'"": '""Manager Level'""}"," {'""max'"": 120030.05"," '""min'"": 105622.42"," '""label'"": '""Manager Level'""}"," {'""max'"": 120956.0"," '""min'"": 120030.05"," '""label'"": '""Executive Level'""}]""",1455720000.00,2902944000.00,2179320000.00,VND,"[{'max'"": 1884645438"," '""min'"": 1455720000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2090540106"," '""min'"": 1884645438"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2534938186"," '""min'"": 2090540106"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 2880721212"," '""min'"": 2534938186"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 2902944000"," '""min'"": 2880721212"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
2,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",54956.00,165067.00,110011.00,USD,"[{""max"""": 89591.88"," '""min'"": 54956.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 103932.04"," '""min'"": 89591.88"," """"label"""": """"Associate Level""""}"," {'""max'"": 128270.88"," '""min'"": 103932.04"," '""label'"": '""Manager Level'""}"," {'""max'"": 156934.75"," '""min'"": 128270.88"," '""label'"": '""Manager Level'""}"," {'""max'"": 165067.0"," '""min'"": 156934.75"," '""label'"": '""Executive Level'""}]""",1318944000.00,3961608000.00,2640264000.00,VND,"[{'max'"": 2150205060"," '""min'"": 1318944000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2494368860"," '""min'"": 2150205060"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3078501136"," '""min'"": 2494368860"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 3766434116"," '""min'"": 3078501136"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 3961608000"," '""min'"": 3766434116"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
3,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",79183.00,180013.00,129598.00,USD,"[{""max"""": 112625.19"," '""min'"": 79183.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 122733.43"," '""min'"": 112625.19"," """"label"""": """"Associate Level""""}"," {'""max'"": 154161.8"," '""min'"": 122733.43"," '""label'"": '""Manager Level'""}"," {'""max'"": 177051.27"," '""min'"": 154161.8"," '""label'"": '""Manager Level'""}"," {'""max'"": 180013.0"," '""min'"": 177051.27"," '""label'"": '""Executive Level'""}]""",1900392000.00,4320312000.00,3110352000.00,VND,"[{'max'"": 2703004677"," '""min'"": 1900392000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2945602397"," '""min'"": 2703004677"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3699883082"," '""min'"": 2945602397"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4249230406"," '""min'"": 3699883082"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4320312000"," '""min'"": 4249230406"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
4,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",46752.00,179076.00,112914.00,USD,"[{""max"""": 90482.44"," '""min'"": 46752.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 109694.25"," '""min'"": 90482.44"," """"label"""": """"Associate Level""""}"," {'""max'"": 135051.8"," '""min'"": 109694.25"," '""label'"": '""Manager Level'""}"," {'""max'"": 168444.54"," '""min'"": 135051.8"," '""label'"": '""Manager Level'""}"," {'""max'"": 179076.0"," '""min'"": 168444.54"," '""label'"": '""Executive Level'""}]""",1122048000.00,4297824000.00,2709936000.00,VND,"[{'max'"": 2171578541"," '""min'"": 1122048000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2632662057"," '""min'"": 2171578541"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3241243120"," '""min'"": 2632662057"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4042668930"," '""min'"": 3241243120"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4297824000"," '""min'"": 4042668930"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
5,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",67399.00,165257.00,116328.00,USD,"[{""max"""": 101435.24"," '""min'"": 67399.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 111045.3"," '""min'"": 101435.24"," """"label"""": """"Associate Level""""}"," {'""max'"": 135062.74"," '""min'"": 111045.3"," '""label'"": '""Manager Level'""}"," {'""max'"": 164210.62"," '""min'"": 135062.74"," '""label'"": '""Manager Level'""}"," {'""max'"": 165257.0"," '""min'"": 164210.62"," '""label'"": '""Executive Level'""}]""",1617576000.00,3966168000.00,2791872000.00,VND,"[{'max'"": 2434445662"," '""min'"": 1617576000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2665087121"," '""min'"": 2434445662"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3241505709"," '""min'"": 2665087121"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 3941054851"," '""min'"": 3241505709"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 3966168000"," '""min'"": 3941054851"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
6,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",75280.00,173498.00,124389.00,USD,"[{""max"""": 100764.37"," '""min'"": 75280.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 115924.2"," '""min'"": 100764.37"," """"label"""": """"Associate Level""""}"," {'""max'"": 144490.72"," '""min'"": 115924.2"," '""label'"": '""Manager Level'""}"," {'""max'"": 172108.71"," '""min'"": 144490.72"," '""label'"": '""Manager Level'""}"," {'""max'"": 173498.0"," '""min'"": 172108.71"," '""label'"": '""Executive Level'""}]""",1806720000.00,4163952000.00,2985336000.00,VND,"[{'max'"": 2418344941"," '""min'"": 1806720000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2782180689"," '""min'"": 2418344941"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3467777301"," '""min'"": 2782180689"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4130609021"," '""min'"": 3467777301"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4163952000"," '""min'"": 4130609021"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
7,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",51833.00,106912.00,79372.00,USD,"[{""max"""": 70300.56"," '""min'"": 51833.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 76942.52"," '""min'"": 70300.56"," """"label"""": """"Associate Level""""}"," {'""max'"": 89856.23"," '""min'"": 76942.52"," '""label'"": '""Manager Level'""}"," {'""max'"": 102094.98"," '""min'"": 89856.23"," '""label'"": '""Manager Level'""}"," {'""max'"": 106912.0"," '""min'"": 102094.98"," '""label'"": '""Executive Level'""}]""",1243992000.00,2565888000.00,1904928000.00,VND,"[{'max'"": 1687213436"," '""min'"": 1243992000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 1846620552"," '""min'"": 1687213436"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2156549521"," '""min'"": 1846620552"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 2450279611"," '""min'"": 2156549521"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 2565888000"," '""min'"": 2450279611"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
8,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",50208.00,183491.00,116849.00,USD,"[{""max"""": 95296.5"," '""min'"": 50208.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 112320.63"," '""min'"": 95296.5"," """"label"""": """"Associate Level""""}"," {'""max'"": 139812.06"," '""min'"": 112320.63"," '""label'"": '""Manager Level'""}"," {'""max'"": 174494.6"," '""min'"": 139812.06"," '""label'"": '""Manager Level'""}"," {'""max'"": 183491.0"," '""min'"": 174494.6"," '""label'"": '""Executive Level'""}]""",1204992000.00,4403784000.00,2804376000.00,VND,"[{'max'"": 2287115918"," '""min'"": 1204992000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2695695074"," '""min'"": 2287115918"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3355489391"," '""min'"": 2695695074"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4187870497"," '""min'"": 3355489391"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4403784000"," '""min'"": 4187870497"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
9,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",68950.00,131259.00,100104.00,USD,"[{""max"""": 90721.9"," '""min'"": 68950.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 98904.74"," '""min'"": 90721.9"," """"label"""": """"Associate Level""""}"," {'""max'"": 113268.45"," '""min'"": 98904.74"," '""label'"": '""Manager Level'""}"," {'""max'"": 125640.75"," '""min'"": 113268.45"," '""label'"": '""Manager Level'""}"," {'""max'"": 131259.0"," '""min'"": 125640.75"," '""label'"": '""Executive Level'""}]""",1654800000.00,3150216000.00,2402496000.00,VND,"[{'max'"": 2177325599"," '""min'"": 1654800000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2373713729"," '""min'"": 2177325599"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2718442832"," '""min'"": 2373713729"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 3015378019"," '""min'"": 2718442832"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 3150216000"," '""min'"": 3015378019"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
10,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",60666.00,185590.00,123128.00,USD,"[{""max"""": 103751.19"," '""min'"": 60666.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 118117.41"," '""min'"": 103751.19"," """"label"""": """"Associate Level""""}"," {'""max'"": 146804.45"," '""min'"": 118117.41"," '""label'"": '""Manager Level'""}"," {'""max'"": 184070.97"," '""min'"": 146804.45"," '""label'"": '""Manager Level'""}"," {'""max'"": 185590.0"," '""min'"": 184070.97"," '""label'"": '""Executive Level'""}]""",1455984000.00,4454160000.00,2955072000.00,VND,"[{'max'"": 2490028524"," '""min'"": 1455984000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2834817871"," '""min'"": 2490028524"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 3523306865"," '""min'"": 2834817871"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 4417703263"," '""min'"": 3523306865"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 4454160000"," '""min'"": 4417703263"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
11,"Extensive skill, knowledge, and experience needed. Typically requires more than 5 years of specialized experience in leadership roles.","Cần kỹ năng, kiến thức và kinh nghiệm sâu rộng. Thường yêu cầu hơn 5 năm kinh nghiệm chuyên môn trong vai trò lãnh đạo.","Master''s degree required. Some positions may require Ph.D., M.D., or J.D. (law degree).","Yêu cầu bằng thạc sĩ. Một số vị trí có thể yêu cầu bằng tiến sĩ, bác sĩ y khoa hoặc luật sư.",71228.00,137838.00,104533.00,USD,"[{""max"""": 89870.13"," '""min'"": 71228.0"," '""label'"": '""Intern Level'""}"," {'""max'"": 103598.97"," '""min'"": 89870.13"," """"label"""": """"Associate Level""""}"," {'""max'"": 117384.14"," '""min'"": 103598.97"," '""label'"": '""Manager Level'""}"," {'""max'"": 131733.99"," '""min'"": 117384.14"," '""label'"": '""Manager Level'""}"," {'""max'"": 137838.0"," '""min'"": 131733.99"," '""label'"": '""Executive Level'""}]""",1709472000.00,3308112000.00,2508792000.00,VND,"[{'max'"": 2156883064"," '""min'"": 1709472000"," '""label'"": '""Cấp thực tập sinh'""}"," {'""max'"": 2486375278"," '""min'"": 2156883064"," '""label'"": '""Cấp nhân viên'""}"," {'""max'"": 2817219244"," '""min'"": 2486375278"," '""label'"": '""Cấp quản lý'""}"," {'""max'"": 3161615705"," '""min'"": 2817219244"," '""label'"": '""Cấp quản lý cao cấp'""}"," {'""max'"": 3308112000"," '""min'"": 3161615705"," '""label'"": '""Cấp điều hành'""}]""",2026-01-27 15:44:54.424881+00
