name,slug,vietnamese_name,category_group,description,vietnamworks_url,is_active,sort_order,created_at,updated_at
Sales Business Development,ban-hang-phat-trien-kinh-doanh,Bán Hàng/Phát Triển Kinh Doanh,Bán Hàng & Kinh Doanh,Các vị trí bán hàng và phát triển kinh doanh,,t,1,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Technical Sales,ban-hang-ky-thuat,Bán Hàng Kỹ Thuật,Bán Hàng & Kinh Doanh,"Bán hàng các sản phẩm kỹ thuật, công nghệ",,t,2,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Telesales,ban-hang-qua-dien-thoai,Bán Hàng Qua Điện Thoại,Bán Hàng & Kinh Doanh,Bán hàng qua điện thoại và telesales,,t,3,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Retail Assistant,tro-ly-ban-le,Trợ Lý Bán Lẻ,Bán Hàng & Kinh Doanh,Hỗ trợ bán hàng tại các cửa hàng bán lẻ,,t,4,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
General Accounting,ke-toan-tong-hop,Kế Toán Tổng Hợp,Kế Toán & Tài Chính,Kế toán tổng hợp và báo cáo tài chính,,t,10,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Finance Accounting,ke-toan-tai-chinh,Kế Toán Tài Chính,Kế Toán & Tài Chính,Kế toán tài chính và quản lý tài chính,,t,11,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Management Accounting,ke-toan-quan-tri,Kế Toán Quản Trị,Kế Toán & Tài Chính,Kế toán quản trị và phân tích chi phí,,t,12,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Tax Accounting,ke-toan-thue,Kế Toán Thuế,Kế Toán & Tài Chính,Kế toán thuế và tư vấn thuế,,t,13,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Accounts Receivable,ke-toan-cong-no,Kế Toán Công Nợ,Kế Toán & Tài Chính,Quản lý công nợ và thu hồi nợ,,t,14,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
Cost Accounting,ke-toan-chi-phi,Kế Toán Chi Phí,Kế Toán & Tài Chính,Kế toán chi phí và kiểm soát chi phí,,t,15,2026-05-11 09:30:11.232872+00,2026-05-11 09:30:11.232872+00
