id,industry_group_id,industry_group_slug,source_site,title,company,location,salary,salary_min,salary_max,skills,experience_level,employment_type,description,requirements,posted_date,application_deadline,job_url,apply_url,content_hash,is_active,first_seen_at,last_seen_at,created_at,updated_at,raw_data
1,1,information-technology,vietnamworks,Nhân Viên Công Nghệ Thông Tin Kiêm Dịch Vụ Hỗ Trợ,Công Ty Chứng Khoán Yuanta Việt Nam,"","",,,{},,,Vị trí tại Công Ty Chứng Khoán Yuanta Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/nhan-vien-cong-nghe-thong-tin-kiem-dich-vu-ho-tro-2046980-jv,https://www.vietnamworks.com/nhan-vien-cong-nghe-thong-tin-kiem-dich-vu-ho-tro-2046980-jv?source=searchResults&searchType=2&placement=2046980&sortBy=date&qs=0,3030dc6c268986e4c328b333e19e76e513080c402f4447d3501243a98e4a6c74,t,2026-05-12 11:33:18.461193+00,2026-05-12 13:13:49.467662+00,2026-05-12 11:33:18.407227+00,2026-05-12 13:13:49.467662+00,"{'"source'": '"dom'"}"
287,1,information-technology,vietnamworks,2D Pixel Artist (Background / Character / Monster),Công Ty TNHH Nexon Creative Studio VINA,"","",,,{},,,Vị trí tại Công Ty TNHH Nexon Creative Studio VINA. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--2043828-jv,https://www.vietnamworks.com/2d-pixel-artist-background-character-monster--2043828-jv?source=searchResults&searchType=2&placement=2043828&sortBy=date&qs=0,6eaddc5ba104519d2d83a56b4487a562687b2aa4e803c2016cfb5b9fea94ffa6,t,2026-05-13 16:22:07.189447+00,2026-05-14 02:01:45.456273+00,2026-05-13 16:22:07.145559+00,2026-05-14 02:01:45.456273+00,"{'"source'": '"dom'"}"
184,12,construction-engineering,topcv,Kỹ Sư Dựng Mô Hình 3D / Modeler BIM 3D Kiến Trúc Và Kết Cấu (ArchiCAD/ Revit) - Đi Làm Ngay - Lương Upto 1000USD,"",Hà Nội,Thoả thuận,,,{},,,"","",,,https://www.topcv.vn/viec-lam/ky-su-dung-mo-hinh-3d-modeler-bim-3d-kien-truc-va-ket-cau-archicad-revit-di-lam-ngay-luong-upto-1000usd/2126466.html,https://www.topcv.vn/viec-lam/ky-su-dung-mo-hinh-3d-modeler-bim-3d-kien-truc-va-ket-cau-archicad-revit-di-lam-ngay-luong-upto-1000usd/2126466.html,82fe91c5218bf95de1493c42cc875c2b926a178082c6a8bb846e37ef69e3300e,t,2026-05-12 13:18:44.826595+00,2026-05-14 01:16:38.573394+00,2026-05-12 13:18:44.847589+00,2026-05-14 01:16:38.573394+00,"{'"source'": '"dom'"}"
99,1,information-technology,vietnamworks,Frontend Developer (Reactjs/vuejs) – Fintech/trading Platform,Công Ty TNHH Chứng Khoán Jb Việt Nam,"","",,,{},,,Vị trí tại Công Ty TNHH Chứng Khoán Jb Việt Nam. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/frontend-developer-reactjsvuejs-fintechtrading-platform-2045860-jv,https://www.vietnamworks.com/frontend-developer-reactjsvuejs-fintechtrading-platform-2045860-jv?source=searchResults&searchType=2&placement=2045860&sortBy=date&qs=0,da7c46eb3fa00c53cd97aa6ded1320dc100d182eefbd165061bb99cb492682a1,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.467662+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:13:49.428552+00,"{'"source'": '"dom'"}"
167,2,marketing-communication,topcv,Chuyên Viên Kinh Doanh/Sale Bất Động Sản - Thu Nhập Cao Không Giới Hạn 75-500 Triệu/Tháng - Hỗ Trợ Data Nóng & Marketing Lên Tới 100%,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ SOL HOMES,Hà Nội,75 - 500 triệu,,,{},,,"","",,,https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-sale-bat-dong-san-thu-nhap-cao-khong-gioi-han-75-500-trieu-thang-ho-tro-data-nong-marketing-len-toi-100/1917630.html,https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-sale-bat-dong-san-thu-nhap-cao-khong-gioi-han-75-500-trieu-thang-ho-tro-data-nong-marketing-len-toi-100/1917630.html,219f683690515cf087d2d2200738df39fb25043bde67700c42075ba8b4dd8d25,t,2026-05-12 13:18:44.826595+00,2026-05-12 13:54:38.814583+00,2026-05-12 13:18:44.847589+00,2026-05-12 13:54:38.814583+00,"{'"source'": '"dom'"}"
179,12,construction-engineering,topcv,Kỹ Sư Thiết Kế Cơ Khí (Băng Tải & Nhà Để Xe) Tại Hà Nội - Lương Từ 8-15 Triệu,CÔNG TY TNHH NIPPON CONVEYOR VIỆT NAM,Hà Nội,8 - 15 triệu,8,15,{},,,"","",,,https://www.topcv.vn/viec-lam/ky-su-thiet-ke-co-khi-bang-tai-nha-de-xe-tai-ha-noi-luong-tu-8-15-trieu/2124245.html,https://www.topcv.vn/viec-lam/ky-su-thiet-ke-co-khi-bang-tai-nha-de-xe-tai-ha-noi-luong-tu-8-15-trieu/2124245.html,f6a2db1cc4e86a1491ab93463c06ffe30a9140e31d9efc02d7cd1091c0605f23,t,2026-05-12 13:18:44.826595+00,2026-05-14 09:50:48.786131+00,2026-05-12 13:18:44.847589+00,2026-05-14 09:50:48.786131+00,"{'"source'": '"dom'"}"
11,2,marketing-communication,vietnamworks,Marketing Manager - Group Brand,"Amway Vietnam Co., Ltd.","","",,,{},,,"Vị trí tại Amway Vietnam Co., Ltd.. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.","",,,https://www.vietnamworks.com/marketing-manager-group-brand--2046068-jv,https://www.vietnamworks.com/marketing-manager-group-brand--2046068-jv?source=searchResults&searchType=2&placement=2046068&sortBy=date&qs=0,d59a04f45497c92ca1d51440669bf1d4cc104c59164556f468261301548184e2,t,2026-05-12 11:33:19.097332+00,2026-05-12 13:18:44.150724+00,2026-05-12 11:33:19.09525+00,2026-05-12 13:18:44.150724+00,"{'"source'": '"dom'"}"
5,1,information-technology,vietnamworks,Kỹ Sư An Ninh Mạng,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hóa Dầu Khí (PAIC)","","",,,{},,,"Vị trí tại Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hóa Dầu Khí (PAIC). Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.","",,,https://www.vietnamworks.com/ky-su-an-ninh-mang-2043674-jv,https://www.vietnamworks.com/ky-su-an-ninh-mang-2043674-jv?source=searchResults&searchType=2&placement=2043674&sortBy=date&qs=0,a87376511ebf13b82ec63472bf50226ed426c9ae6feee26e0a54024e2e49673e,t,2026-05-12 11:33:18.461193+00,2026-05-12 13:18:44.436857+00,2026-05-12 11:33:18.407227+00,2026-05-12 13:18:44.436857+00,"{'"source'": '"dom'"}"
101,6,sales-business-development,vietnamworks,B2B Sales Specialist - Mandarin/Cantonese Language,Concentrix,"","",,,{},,,Vị trí tại Concentrix. Xem chi tiết và ứng tuyển trực tiếp trên VietnamWorks.,"",,,https://www.vietnamworks.com/b2b-sales-specialist-mandarincantonese-language-2046725-jv,https://www.vietnamworks.com/b2b-sales-specialist-mandarincantonese-language-2046725-jv?source=searchResults&searchType=2&placement=2046725&sortBy=date&qs=0,d4bec83bea7268cd06bca03ca5477da40ca4b0b80385b6d3233eb463f0985805,t,2026-05-12 13:13:49.467662+00,2026-05-12 13:18:46.788234+00,2026-05-12 13:13:49.428552+00,2026-05-12 13:18:46.788234+00,"{'"source'": '"dom'"}"
136,4,accounting-auditing,careerviet,Kế toán trưởng (HTC Construction Company)(Mới),Openasia Group,Hà Nội,Lương: Cạnh tranh,,,{},,,"","",,,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-htc-construction-company.35C75879.html,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-htc-construction-company.35C75879.html,3d4b3e00ec45679471c61d37ab5202f4b3e0b9265bb27a3c54041e52e4834a58,t,2026-05-12 13:18:44.436857+00,2026-05-12 13:18:47.368262+00,2026-05-12 13:18:44.459969+00,2026-05-12 13:18:47.368262+00,"{'"source'": '"dom'"}"
