job_id,title_vi,description_vi,skills_vi,riasec_centroid_json,tags_vi
11-1011.00,Giám đốc điều hành,"Xác định và xây dựng các chính sách và cung cấp hướng dẫn tổng thể cho các công ty hoặc các tổ chức khu vực tư nhân và công trong các hướng dẫn được thành lập bởi hội đồng quản trị hoặc cơ quan quản trị tương tự. Kế hoạch, trực tiếp hoặc phối hợp các hoạt động hoạt động tại cấp cao nhất của quản lý với sự giúp đỡ của các giám đốc điều hành và quản lý nhân viên.",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|phán đoán & ra quyết định|phân tích hệ thống|phối hợp|quản lý dự án|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|đàm phán|đọc hiểu,"[0.186, 0.463, 0.297, 0.503, 0.983, 0.714]",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|phán đoán & ra quyết định|phân tích hệ thống|phối hợp|quản lý dự án|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|đàm phán|đọc hiểu
11-1011.03,Các giám đốc về phát triển bền vững,"Truyền thông và phối hợp với quản lý, cổ đông, khách hàng và nhân viên để giải quyết các vấn đề bền vững.",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phân tích hệ thống|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đánh giá hệ thống|đọc hiểu,"[0.291, 0.683, 0.354, 0.507, 0.954, 0.641]",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phân tích hệ thống|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đánh giá hệ thống|đọc hiểu
11-1021.00,Quản lý chung và hoạt động,"Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động của các tổ chức khu vực công hoặc tư nhân, giám sát nhiều bộ phận hoặc địa điểm. Các nhiệm vụ và trách nhiệm bao gồm xây dựng chính sách, quản lý hoạt động hàng ngày, và lập kế hoạch sử dụng vật liệu và nguồn nhân lực, nhưng có tính chất quá đa dạng và chung để được phân loại vào bất kỳ lĩnh vực chức năng nào của quản lý hoặc quản trị, chẳng hạn như nhân sự, mua sắm hoặc dịch vụ hành chính. Thông thường quản lý thông qua giám sát viên phụ trách. Không bao gồm giám sát viên hàng đầu.",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện|viết|đọc hiểu,"[0.317, 0.341, 0.187, 0.481, 0.994, 0.76]",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện|viết|đọc hiểu
11-1031.00,Các nhà lập pháp,"Phát triển, đưa ra hoặc ban hành luật pháp và quy định tại cấp địa phương, bộ lạc, tiểu bang hoặc liên bang.",giao tiếp|khả năng thích ứng|làm việc nhóm|quản lý thời gian|tư duy phản biện,"[0.22, 0.479, 0.386, 0.527, 0.789, 0.517]",giao tiếp|khả năng thích ứng|làm việc nhóm|quản lý thời gian|tư duy phản biện
11-2011.00,Người quản lý quảng cáo và khuyến mãi,"Lập kế hoạch, chỉ đạo hoặc phối hợp các chính sách và chương trình quảng cáo hoặc sản xuất các tài liệu phụ, chẳng hạn như poster, cuộc thi, phiếu giảm giá hoặc quà tặng, để tạo ra sự quan tâm thêm vào việc mua một sản phẩm hoặc dịch vụ cho một bộ phận, toàn bộ tổ chức, hoặc trên cơ sở tài khoản.",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đọc hiểu,"[0.153, 0.244, 0.55, 0.449, 1.0, 0.614]",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đọc hiểu
11-2021.00,Quản lý tiếp thị,"Kế hoạch, chỉ đạo hoặc phối hợp các chính sách và chương trình tiếp thị, chẳng hạn như xác định nhu cầu về các sản phẩm và dịch vụ được cung cấp bởi một công ty và các đối thủ cạnh tranh của nó, và xác định khách hàng tiềm năng. Phát triển các chiến lược định giá với mục tiêu tối đa hóa lợi nhuận hoặc thị phần của công ty trong khi đảm bảo khách hàng của doanh nghiệp hài lòng. Giám sát phát triển sản phẩm hoặc theo dõi xu hướng cho thấy nhu cầu về sản phẩm và dịch vụ mới.",Quản lý|giao tiếp|giao tiếp khách hàng|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|kỹ năng bán hàng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|xây dựng mối quan hệ|đàm phán|đọc hiểu,"[0.143, 0.414, 0.35, 0.403, 1.0, 0.671]",Quản lý|giao tiếp|giao tiếp khách hàng|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|kỹ năng bán hàng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|xây dựng mối quan hệ|đàm phán|đọc hiểu
11-2022.00,Quản lý bán hàng,"Kế hoạch, chỉ đạo hoặc phối hợp việc phân phối hoặc di chuyển thực tế của sản phẩm hoặc dịch vụ cho khách hàng. Điều phối phân phối bán hàng bằng cách thiết lập lãnh thổ bán hàng, hạn ngạch và mục tiêu và thiết lập các chương trình đào tạo cho đại diện bán hàng. Phân tích số liệu thống kê bán hàng được thu thập bởi nhân viên để xác định tiềm năng bán hàng và yêu cầu hàng tồn kho và theo dõi sở thích của khách hàng.",Quản lý|giao tiếp|giao tiếp khách hàng|giao tiếp nói|giám sát|học chủ động|khả năng thích ứng|kỹ năng bán hàng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|xây dựng mối quan hệ|đàm phán|đọc hiểu,"[0.213, 0.237, 0.187, 0.47, 1.0, 0.797]",Quản lý|giao tiếp|giao tiếp khách hàng|giao tiếp nói|giám sát|học chủ động|khả năng thích ứng|kỹ năng bán hàng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|xây dựng mối quan hệ|đàm phán|đọc hiểu
11-2032.00,Người quản lý quan hệ công chúng,"Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động được thiết kế để tạo ra hoặc duy trì hình ảnh công chúng thuận lợi hoặc nâng cao nhận thức về vấn đề cho tổ chức hoặc khách hàng của họ.",giao tiếp|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|quản lý dự án|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện,"[0.143, 0.336, 0.526, 0.591, 1.0, 0.627]",giao tiếp|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|quản lý dự án|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện
11-2033.00,Các nhà quản lý huy động quỹ,"Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động để thu thập và duy trì quỹ cho các dự án đặc biệt hoặc các tổ chức phi lợi nhuận.",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đọc hiểu,"[0.143, 0.344, 0.381, 0.536, 1.0, 0.674]",Quản lý|giao tiếp|giao tiếp nói|giám sát|giải quyết vấn đề phức tạp|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phán đoán & ra quyết định|phối hợp|quản lý dự án|quản lý nhóm|quản lý thời gian|ra quyết định|thuyết phục|tư duy phản biện|viết|đọc hiểu
11-3012.00,Người quản lý dịch vụ hành chính,"Kế hoạch, chỉ đạo hoặc phối hợp một hoặc nhiều dịch vụ hành chính của một tổ chức, chẳng hạn như quản lý hồ sơ và thông tin, phân phối thư và các dịch vụ hỗ trợ văn phòng khác.",Quản lý|giao tiếp|giao tiếp nói|giám sát|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện|viết|đàm phán|đọc hiểu,"[0.227, 0.29, 0.144, 0.53, 0.93, 0.919]",Quản lý|giao tiếp|giao tiếp nói|giám sát|học chủ động|khả năng thích ứng|làm việc nhóm|lãnh đạo|lập kế hoạch chiến lược|lắng nghe tích cực|nhạy bén xã hội|phối hợp|quản lý dự án|quản lý nguồn nhân lực|quản lý nhóm|quản lý thời gian|ra quyết định|tư duy phản biện|viết|đàm phán|đọc hiểu
