"job_id","title_vi","description_vi","skills_vi","riasec_centroid_json","tags_vi"
"11-1011.00","Giám đốc điều hành","Xác định và xây dựng các chính sách và cung cấp hướng dẫn tổng thể cho các công ty hoặc các tổ chức khu vực tư nhân và công trong các hướng dẫn được thành lập bởi hội đồng quản trị hoặc cơ quan quản trị tương tự. Kế hoạch, trực tiếp hoặc phối hợp các hoạt động hoạt động tại cấp cao nhất của quản lý với sự giúp đỡ của các giám đốc điều hành và quản lý nhân viên.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|giao tiếp nói|phân tích hệ thống","[0.18571428571428572, 0.4628571428571429, 0.29714285714285715, 0.5028571428571429, 0.9828571428571429, 0.7142857142857143]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn lực tài chính|quản lý nguồn lực vật chất|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|giao tiếp nói|phân tích hệ thống"
"11-1011.03","Các giám đốc về phát triển bền vững","Truyền thông và phối hợp với quản lý, cổ đông, khách hàng và nhân viên để giải quyết các vấn đề bền vững.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|viết","[0.2914285714285714, 0.6828571428571429, 0.35428571428571426, 0.5071428571428571, 0.9542857142857143, 0.6414285714285715]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|phân tích hệ thống|đánh giá hệ thống|viết"
"11-1021.00","Quản lý chung và hoạt động","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động của các tổ chức khu vực công hoặc tư nhân, giám sát nhiều bộ phận hoặc địa điểm. Các nhiệm vụ và trách nhiệm bao gồm xây dựng chính sách, quản lý hoạt động hàng ngày, và lập kế hoạch sử dụng vật liệu và nguồn nhân lực, nhưng có tính chất quá đa dạng và chung để được phân loại vào bất kỳ lĩnh vực chức năng nào của quản lý hoặc quản trị, chẳng hạn như nhân sự, mua sắm hoặc dịch vụ hành chính. Thông thường quản lý thông qua giám sát viên phụ trách. Không bao gồm giám sát viên hàng đầu.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.31714285714285717, 0.34142857142857147, 0.18714285714285714, 0.48142857142857143, 0.9942857142857143, 0.76]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-1031.00","Các nhà lập pháp","Phát triển, đưa ra hoặc ban hành luật pháp và quy định tại cấp địa phương, bộ lạc, tiểu bang hoặc liên bang.","","[0.22, 0.4785714285714286, 0.38571428571428573, 0.5271428571428571, 0.7885714285714285, 0.5171428571428571]",""
"11-2011.00","Người quản lý quảng cáo và khuyến mãi","Lập kế hoạch, chỉ đạo hoặc phối hợp các chính sách và chương trình quảng cáo hoặc sản xuất các tài liệu phụ, chẳng hạn như poster, cuộc thi, phiếu giảm giá hoặc quà tặng, để tạo ra sự quan tâm thêm vào việc mua một sản phẩm hoặc dịch vụ cho một bộ phận, toàn bộ tổ chức, hoặc trên cơ sở tài khoản.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.15285714285714286, 0.24428571428571427, 0.55, 0.44857142857142857, 1.0, 0.6142857142857142]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-2021.00","Quản lý tiếp thị","Kế hoạch, chỉ đạo hoặc phối hợp các chính sách và chương trình tiếp thị, chẳng hạn như xác định nhu cầu về các sản phẩm và dịch vụ được cung cấp bởi một công ty và các đối thủ cạnh tranh của nó, và xác định khách hàng tiềm năng. Phát triển các chiến lược định giá với mục tiêu tối đa hóa lợi nhuận hoặc thị phần của công ty trong khi đảm bảo khách hàng của doanh nghiệp hài lòng. Giám sát phát triển sản phẩm hoặc theo dõi xu hướng cho thấy nhu cầu về sản phẩm và dịch vụ mới.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết","[0.14285714285714285, 0.41428571428571426, 0.35000000000000003, 0.40285714285714286, 1.0, 0.6714285714285715]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết"
"11-2022.00","Quản lý bán hàng","Kế hoạch, chỉ đạo hoặc phối hợp việc phân phối hoặc di chuyển thực tế của sản phẩm hoặc dịch vụ cho khách hàng. Điều phối phân phối bán hàng bằng cách thiết lập lãnh thổ bán hàng, hạn ngạch và mục tiêu và thiết lập các chương trình đào tạo cho đại diện bán hàng. Phân tích số liệu thống kê bán hàng được thu thập bởi nhân viên để xác định tiềm năng bán hàng và yêu cầu hàng tồn kho và theo dõi sở thích của khách hàng.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.21285714285714286, 0.23714285714285713, 0.18714285714285714, 0.47000000000000003, 1.0, 0.7971428571428572]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|phán đoán & ra quyết định|quản lý nguồn nhân lực|giám sát|đàm phán|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
"11-2032.00","Người quản lý quan hệ công chúng","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động được thiết kế để tạo ra hoặc duy trì hình ảnh công chúng thuận lợi hoặc nâng cao nhận thức về vấn đề cho tổ chức hoặc khách hàng của họ.","","[0.14285714285714285, 0.33571428571428574, 0.5257142857142857, 0.5914285714285714, 1.0, 0.6271428571428571]",""
"11-2033.00","Các nhà quản lý huy động quỹ","Kế hoạch, chỉ đạo hoặc phối hợp các hoạt động để thu thập và duy trì quỹ cho các dự án đặc biệt hoặc các tổ chức phi lợi nhuận.","học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết","[0.14285714285714285, 0.3442857142857143, 0.3814285714285714, 0.5357142857142857, 1.0, 0.6742857142857143]","Quản lý|học chủ động|lắng nghe tích cực|giải quyết vấn đề phức tạp|phối hợp|tư duy phản biện|phán đoán & ra quyết định|giám sát|thuyết phục|đọc hiểu|nhạy bén xã hội|giao tiếp nói|viết"
"11-3012.00","Người quản lý dịch vụ hành chính","Kế hoạch, chỉ đạo hoặc phối hợp một hoặc nhiều dịch vụ hành chính của một tổ chức, chẳng hạn như quản lý hồ sơ và thông tin, phân phối thư và các dịch vụ hỗ trợ văn phòng khác.","học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|quản lý nguồn nhân lực|giám sát|đàm phán|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết","[0.22714285714285715, 0.29, 0.1442857142857143, 0.53, 0.9299999999999999, 0.9185714285714285]","Quản lý|học chủ động|lắng nghe tích cực|phối hợp|tư duy phản biện|quản lý nguồn nhân lực|giám sát|đàm phán|đọc hiểu|nhạy bén xã hội|giao tiếp nói|quản lý thời gian|viết"
