O*NET-SOC Code,O*NET-SOC Title,Relatedness Tier
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Primary-Long
11-1011.00,Chief Executives,Primary-Long
19-2041.01,Climate Change Policy Analysts,Primary-Short
19-1031.00,Conservation Scientists,Primary-Long
19-2041.02,Environmental Restoration Planners,Primary-Long
19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Short
19-2041.03,Industrial Ecologists,Primary-Short
13-1199.05,Sustainability Specialists,Primary-Short
19-3051.00,Urban and Regional Planners,Primary-Long
11-9199.10,Wind Energy Development Managers,Primary-Short
13-1082.00,Project Management Specialists,Supplemental
13-1111.00,Management Analysts,Supplemental
17-2081.00,Environmental Engineers,Supplemental
11-9199.02,Compliance Managers,Supplemental
47-4011.01,Energy Auditors,Supplemental
15-1299.09,Information Technology Project Managers,Supplemental
19-3011.01,Environmental Economists,Supplemental
11-9121.02,Water Resource Specialists,Supplemental
25-1053.00,"Environmental Science Teachers, Postsecondary",Supplemental
17-2199.03,"Energy Engineers, Except Wind and Solar",Supplemental
