Section,Category,Example
Technology,Business intelligence and data analysis software,Tableau
Technology,Calendar and scheduling software,Scheduling software
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structure query language SQL
Technology,Document management software,Adobe Acrobat
Technology,Document management software,Microsoft SharePoint
Technology,Electronic mail software,Email software
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,Management information systems MIS
Technology,Enterprise resource planning ERP software,Microsoft Dynamics GP
Technology,Enterprise resource planning ERP software,SAP software
Technology,Graphics or photo imaging software,Adobe Photoshop
Technology,Internet browser software,Web browser software
Technology,Office suite software,Microsoft Office software
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Microsoft Project
Technology,Spreadsheet software,Microsoft Excel
Technology,Video conferencing software,Teleconferencing software
Technology,Web page creation and editing software,Facebook
Technology,Word processing software,Microsoft Word
