Work Context,Work Context Description,Response 1 Percentage,Response 1 Description,Response 2 Percentage,Response 2 Description,Response 3 Percentage,Response 3 Description,Response 4 Percentage,Response 4 Description,Response 5 Percentage,Response 5 Description
E-Mail,How frequently does your job require you to use E-mail?,100,Every day,,,,,,,,
Work With or Contribute to a Work Group or Team,How important is it to work with or contribute to a work group or team in this job?,81,Extremely important,15,Very important,,,,,,
"Indoors, Environmentally Controlled",How often does this job require working indoors in an environmentally controlled environment (like a warehouse with air conditioning)?,85,Every day,11,Once a week or more but not every day,,,,,,
Telephone Conversations,How often do you have telephone conversations in this job?,81,Every day,11,Once a week or more but not every day,,,,,,
Face-to-Face Discussions with Individuals and Within Teams,How frequently does your job require face-to-face discussions with individuals and within teams?,67,Every day,33,Once a week or more but not every day,,,,,,
Duration of Typical Work Week,Number of hours typically worked in one week.,78,More than 40 hours,19,40 hours,,,,,,
"Determine Tasks, Priorities and Goals","How much freedom does the worker have in determining the tasks, priorities, or goals of the job?",52,A lot of freedom,41,Some freedom,,,,,,
Contact With Others,"How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?",52,Constant contact with others,37,Contact with others most of the time,11,Contact with others about half the time,,,,
Freedom to Make Decisions,"How much decision making freedom, without supervision, does the job offer?",48,A lot of freedom,41,Some freedom,11,Limited freedom,,,,
Coordinate or Lead Others in Accomplishing Work Activities,How important is it to coordinate or lead others (not as a supervisor or team leader) in accomplishing work activities in this job?,44,Extremely important,37,Very important,15,Important,,,,
Impact of Decisions on Co-workers or Company Results,What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?,19,Very important results,63,Important results,15,Moderate results,,,,
Spend Time Sitting,How much does this job require sitting?,19,Continually or almost continually,59,More than half the time,15,About half the time,,,,
Deal With External Customers or the Public in General,How important is it to deal with external customers (as in retail sales) or the public in general (as in police work) in this job?,44,Extremely important,19,Very important,15,Important,22,Fairly important,,
Work Outcomes and Results of Other Workers,How responsible is the worker for work outcomes and results of other workers?,30,Very high responsibility,37,High responsibility,22,Moderate responsibility,11,Limited responsibility,,
Level of Competition,To what extent does this job require the worker to compete or to be aware of competitive pressures?,19,Extremely competitive,48,Highly competitive,19,Moderately competitive,15,Slightly competitive,,
Frequency of Decision Making,"How often is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?",26,Every day,30,Once a week or more but not every day,30,Once a month or more but not every week,15,Once a year or more but not every month,,
Importance of Being Exact or Accurate,How important is being very exact or highly accurate in performing this job?,22,Extremely important,33,Very important,26,Important,11,Fairly important,,
Time Pressure,How often does this job require the worker to meet strict deadlines?,11,Every day,37,Once a week or more but not every day,41,Once a month or more but not every week,11,Once a year or more but not every month,,
Written Letters and Memos,How frequently does your job require written letters and memos?,15,Every day,37,Once a week or more but not every day,26,Once a month or more but not every week,22,Once a year or more but not every month,,
Conflict Situations,How frequently are there conflict situations the employee has to face in this job?,22,Once a week or more but not every day,41,Once a month or more but not every week,26,Once a year or more but not every month,,,,
In an Enclosed Vehicle or Operate Enclosed Equipment,How often does this job require working in a closed vehicle or operate enclosed equipment (like a car)?,33,Once a week or more but not every day,37,Once a month or more but not every week,19,Once a year or more but not every month,11,Never,,
Public Speaking,How frequently does your job require public speaking (one speaker with an audience)?,19,Once a week or more but not every day,56,Once a month or more but not every week,26,Once a year or more but not every month,,,,
Physical Proximity,To what extent does this job require the worker to perform job tasks physically close to other people?,52,"Slightly close (e.g., shared office)",37,"I work with others but not closely (e.g., private office)",,,,,,
Health and Safety of Other Workers,How much responsibility is there for the health and safety of others in this job?,11,High responsibility,30,Moderate responsibility,41,Limited responsibility,11,No responsibility,,
"Dealing With Unpleasant, Angry, or Discourteous People","How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?",22,Once a month or more but not every week,59,Once a year or more but not every month,,,,,,
Spend Time Standing,How much does this job require standing?,27,About half the time,65,Less than half the time,,,,,,
"Outdoors, Exposed to All Weather Conditions","How often does this job require working outdoors, exposed to all weather conditions?",31,Once a month or more but not every week,62,Once a year or more but not every month,,,,,,
Consequence of Error,How serious would the result usually be if the worker made a mistake that was not easily correctable?,31,Serious,31,Fairly serious,31,Not serious at all,,,,
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable",How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?,12,Once a week or more but not every day,15,Once a month or more but not every week,35,Once a year or more but not every month,35,Never,,
"Indoors, Not Environmentally Controlled",How often does this job require working in an environment that is not environmentally controlled (like a warehouse without air conditioning)?,22,Once a month or more but not every week,56,Once a year or more but not every month,19,Never,,,,
"Outdoors, Under Cover","How often does this job require working outdoors, under cover (like in an open shed)?",26,Once a month or more but not every week,48,Once a year or more but not every month,26,Never,,,,
Spend Time Making Repetitive Motions,How much does this job require making repetitive motions?,15,More than half the time,15,About half the time,26,Less than half the time,44,Never,,
Spend Time Walking or Running,How much does this job require walking or running?,74,Less than half the time,19,Never,,,,,,
"Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets","How often does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hearing protection, hard hats or life-jackets?",67,Once a year or more but not every month,26,Never,,,,,,
Importance of Repeating Same Tasks,"How important are continuous, repetitive, physical activities (like key entry) or mental activities (like checking entries in a ledger) to performing this job?",11,Very important,19,Fairly important,63,Not important at all,,,,
"Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls","How much does this job require using your hands to handle, control, or feel objects, tools or controls?",27,Less than half the time,58,Never,,,,,,
Exposed to Very Hot or Cold Temperatures,How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?,48,Once a year or more but not every month,48,Never,,,,,,
Exposed to Contaminants,"How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?",44,Once a year or more but not every month,48,Never,,,,,,
Degree of Automation,How automated is the job?,41,Slightly automated,52,Not at all automated,,,,,,
Exposed to Extremely Bright or Inadequate Lighting Conditions,How often does this job require working in extremely bright or inadequate lighting conditions?,30,Once a year or more but not every month,63,Never,,,,,,
Exposed to High Places,How often does this job require exposure to high places?,26,Once a year or more but not every month,67,Never,,,,,,
"Exposed to Minor Burns, Cuts, Bites, or Stings","How often does this job require exposure to minor burns, cuts, bites, or stings?",22,Once a year or more but not every month,67,Never,,,,,,
Exposed to Hazardous Equipment,How often does this job require exposure to hazardous equipment?,19,Once a year or more but not every month,73,Never,,,,,,
"Spend Time Climbing Ladders, Scaffolds, or Poles","How much does this job require climbing ladders, scaffolds, poles, etc.?",23,Less than half the time,73,Never,,,,,,
"Exposed to Cramped Work Space, Awkward Positions",How often does this job require working in cramped work spaces that requires getting into awkward positions?,30,Once a year or more but not every month,67,Never,,,,,,
